,R,G,B,Label
Wilmersdorfer Straße,116.1699392361111,91.85241900877882,59.60075971239518,3
Wutzkyallee,126.93594601934925,130.39393697914522,133.71052156725196,2
Yorkstraße,143.63550116666667,135.22285333333335,125.03655641666667,2
Zitadelle,99.68496365017361,71.3855328971957,40.20569808394821,3
Zwickauer Damm,172.05627697877924,144.14446854480462,86.85088405278042,0
Alexanderplatz,149.35488085147048,156.14183733911466,134.24770799473612,1
Bernauer Straße,140.9132618001456,114.57607880187105,90.17173357094131,2
Boddinstraße,167.16148044787943,155.96178322404197,142.8993083348912,1
Franz-Neumann-Platz,103.99392190151967,97.33454832250428,77.90568678803375,3
Gesundbrunnen,103.1352813681028,103.94268707482993,90.6940088813303,3
Heinrich-Heine-Strasse,155.1092411221421,141.39742074480014,127.95635562209274,1
Hermannstraße,120.84711506606502,123.11329957536539,95.29309007525416,2
Jannowitzbrücke,163.26327709631897,148.59795707095233,32.01927670782081,0
Karl-Bonhoeffer-Nervenklinik,131.72492417793703,86.14357261495711,63.698850678959495,3
Kottbusser-Tor,146.9765075431503,133.6821125168471,121.09119799139168,2
Leinestraße,157.18801204424858,146.9245086118797,132.26920726369815,1
Lindauer Allee,93.57808721000544,94.22196733994802,93.36952141101025,3
Moritzplatz,156.98903620572457,147.3432667627236,134.56211526373667,1
Osloer Straße,113.62690054814092,62.99326329310428,48.616734354285875,3
Pankstrasse,89.72073793664602,67.18731138572393,55.060885048821085,3
Paracelsus-Bad,128.4738378011537,110.74382319310907,98.2593492426585,2
Rathaus Reinickendorf,112.35613371394311,65.49553585691771,51.261194837349926,3
Residenzstrasse,133.67421671367975,99.18067892379409,58.746410685935,0
Rosenthaler Platz,156.1841683041083,99.59875512310842,58.01937574380571,0
Schönleinstrasse,162.95829115228236,152.72511958296766,136.11741308624593,1
Voltastraße,126.67264673586041,111.20179617930205,98.97005430204572,2
Weinmeisterstraße,115.82910141634457,112.51357179278133,114.56666714293323,2
Wittenau,103.07705914266707,82.51840966485607,48.41108338877084,3
Amrumer Straße,157.18888014412352,178.79235939884936,136.27433772161558,1
Birkenstrasse,65.18710401848648,100.56710034401833,59.67088905108612,3
Hansaplatz,170.3917674247048,153.08582663310477,135.36740364886066,1
Leopoldplatz,129.90199604818906,149.55816691605278,145.4693398941068,1
Nauener Platz,170.61628232575285,155.80549307406568,145.0936493364714,1
Turmstraße,148.4345588536842,172.01857941441833,169.27460901314265,1
Westhafen,174.00185050776165,152.2000862102747,132.62996807784342,1
Zoologischer Garten,161.30085008021538,130.00202916200993,100.57627701253199,2
